title,bgg_id,bgg_url,image_url,description,game_type,difficulty,play_time,min_players,max_players,suggested_age,publisher,mechanics,location_room,location_shelf,location_misc,sleeved,upgraded_components,crowdfunded,inserts,is_for_sale,sale_price,sale_condition,is_expansion,parent_game,in_base_game_box,is_coming_soon,rating
"Lord of the Rings: The Duel","","https://boardgamegeek.com/boardgame/4610/lord-of-the-rings-the-duel","https://cf.geekdo-images.com/IHW5qUuiJwlSWQmXc2hMQA__opengraph/img/4uupcDFwqsG_X6stHer9OetE02U=/0x0:2351x1234/fit-in/1200x630/filters:strip_icc()/pic658637.jpg","In **Lord of the Rings: The Duel**, Gandalf and the Balrog clash on the Bridge of Khazad-dûm in a tense two-player card game. Players embody these iconic characters, using cards to maneuver, attack, and strategically push their opponent. The fate of Middle-earth rests on this epic confrontation.

## Quick Gameplay Overview

*   **Goal:** Defeat your opponent by reducing their Energy to zero or forcing them off the bridge.
*   **On Your Turn:**
    *   **Play Cards:** Play a card to move, attack, or activate unique abilities.
    *   **Move:** Advance your character along the strategic bridge track.
    *   **Attack:** Deal damage to your opponent’s Energy if in range.
    *   **Manage Hand:** Draw new cards to replenish your hand.
*   **Winner:** The first player to eliminate their opponent's Energy or push them off the bridge.","Card Game","2 - Medium Light","30-45 Minutes","2","2","10+","KOSMOS","Hand Management;Player Eliminiation;Push Your Luck","","","","","","","","","","","","","","",""
"Macaraccoon","","https://boardgamegeek.com/boardgame/437500/macaraccoon","https://cf.geekdo-images.com/Zg1SeTUxUwE1aw48uueIlw__opengraph/img/OU_e8XPH7xXUuHoE0lxVJ9lyWGQ=/0x0:1392x731/fit-in/1200x630/filters:strip_icc()/pic9044358.png","In the sweet world of Sugarmouth, critter chefs vie for the title of Bakemaster, creating delectable desserts. This delightful game combines strategic ingredient management with a unique transparent layering mechanic for a fun, competitive experience.

## Quick Gameplay Overview

*   **Goal:** Become the new Bakemaster by accumulating the most victory points.
*   **On Your Turn:**
    *   **Draft Ingredients:** Select transparent ingredient tiles from the market.
    *   **Layer Treats:** Strategically place drafted tiles onto your dessert board to match orders.
    *   **Fulfill Orders:** Declare an order fulfilled when its pattern is matched to claim rewards.
    *   **Special Actions:** Use abilities to gain advantages or manipulate the market.
*   **Winner:** The player with the most victory points from fulfilled orders and bonuses is crowned Bakemaster.","Board Game","3 - Medium","45-60 Minutes","2","5","7+","Memesys Culture Lab","Action Points;Contracts;Layering;Move Through Deck;Open Drafting","","","","","","","","","","","","","","true",""
"Maple Valley (Kickstarter Edition)","","https://boardgamegeek.com/boardgame/409858/maple-valley-kickstarter-edition","https://cf.geekdo-images.com/ahG2uUbZpWzn8WbxzfHBcA__opengraph/img/7QqYda1nA-OXBQZ9s_SI6YGkqyE=/0x1653:2162x2932/fit-in/1200x630/filters:fill(blur):strip_icc()/pic7985496.jpg","Explore the vibrant Maple Valley as a forest creature, preparing for the annual spring festival. Gather resources, craft goods, and fulfill requests to become the most celebrated contributor in this strategic and family-friendly game.

## Quick Gameplay Overview
- **Goal:** Earn the most renown by contributing to the festival.
- **On Your Turn:**
    - **Move:** Move your pawn along paths to different locations.
    - **Gather Resources:** Collect berries, mushrooms, or flowers at locations.
    - **Craft Items:** Use resources from hand to craft items.
    - **Fulfill Requests:** Spend items/resources to complete festival requests for renown.
- **Winner:** The player with the most renown points.
The Kickstarter Edition includes enhanced components and exclusive content.","Board Game","2 - Medium Light","60+ Minutes","1","5","8+","KTBG","Hand Management;Set Collection","","","","","","","","","","","","","","true",""
"Monkey Around: The Wiggle & Giggle Game","","https://boardgamegeek.com/boardgame/296331/monkey-around-the-wiggle-and-giggle-game","https://cf.geekdo-images.com/kwniAwzYzEWjUNuPTWkIdg__opengraph/img/0hNCqk-YQGtcWsRB1ek-CD1jQeA=/0x51:308x213/fit-in/1200x630/filters:strip_icc()/pic5166780.jpg","Monkey Around is a cooperative game for toddlers, encouraging physical activity and early developmental skills through playful movement. Its vibrant components and simple rules make it ideal for introducing young children to board games.

## Quick Gameplay Overview
- **Goal:** Cooperatively complete action cards to fill the tree.
- **On Your Turn:**
    - **Draw Card:** Pull an action card from the box.
    - **Perform Action:** All players perform the action shown (e.g., ""balance banana on head"").
    - **Place Card:** Once performed, place the card in the tree.
- **End Game:** Game ends when all cards are drawn, performed, and fill the tree.
- **Winner:** All players win together by filling the tree.

This edition features a delightful plush monkey and 40 large, sturdy action cards.","Other","1 - Light","0-15 Minutes","1","4","2+","Peaceable Kingdom","Cooperative Game","","","","","","","","","","","","","","",""
"Monopoly Deal","","https://boardgamegeek.com/boardgame/164840/monopoly-deal","https://cf.geekdo-images.com/BH5gxOe_ozOtWihuCJ3lYw__opengraph/img/J8liEo4LWmqeRQWnD-xSB0LfEwo=/0x0:1350x709/fit-in/1200x630/filters:strip_icc()/pic2098412.jpg","Monopoly Deal is a fast-paced card game distilling the classic Monopoly experience into a portable format. Aim to be the first to collect three complete sets of properties using action cards and strategic money management. This pocket version plays quicker than its predecessor.

## Quick Gameplay Overview
**Goal:** Be the first player to collect three full property sets of different colors.
**On Your Turn:**
- **Draw** 2 cards from the draw pile.
- **Play** up to 3 cards: — **Money into bank** (facedown), — **Properties onto board** (face-up), — **Action cards for effects.**
- **Discard** down to 7 cards if needed.
**End Game:** The game immediately ends when a player completes their third full property set.
**Winner:** The player who lays down three complete, different-colored property sets wins.

This edition offers a compact size and quick rounds for family gatherings or travel.","Card Game","1 - Light","15-30 Minutes","2","3","8+","ASS Altenburger Spielkarten","Card Play;Set Collection;Take That","","","","","","","","","","","","","","",""
"Mycelia","","https://boardgamegeek.com/boardgame/378476/mycelia","https://cf.geekdo-images.com/0DDStf5eJUgtSpBzXyYhig__opengraph/img/mLea8tPk8TmdzFIwKXLtVmc41LE=/0x459:2010x1514/fit-in/1200x630/filters:strip_icc()/pic7431245.jpg","Mycelia immerses players in the vibrant, strategic world of fungi, where they cultivate unique mushroom dominions. This game beautifully blends tactical decision-making with organic growth, appealing to both new and experienced strategists.

## Quick Gameplay Overview
- **Goal:** Build the most flourishing fungi kingdom to earn victory points.
- **On Your Turn:**
    - **Draft Mycelium Cards:** Add new mycelium structures and abilities.
    - **Play Mycelium Cards:** Expand your network, activate abilities, or score points.
    - **Grow and Connect:** Position growth strategically to gain resources or block opponents.
    - **Harvest/Score:** Trigger harvesting or score points based on your network.
- **Winner:** The player with the highest victory points.","Board Game","2 - Medium Light","45-60 Minutes","1","4","10+","Split Stone Games","Grid Movement;Open Drafting;Solo / Solitaire Game","","","","","","","","","","","","","","",""
"Never Ending Stories","","https://boardgamegeek.com/boardgame/8674/never-ending-stories","https://cf.geekdo-images.com/nj1023GmVXLQlfm9uVV_0Q__opengraph/img/jc47X0ZKlpPe28JbC8VSKPNMW0s=/0x0:1791x940/fit-in/1200x630/filters:strip_icc()/pic716434.jpg","**Never Ending Stories** is a charming game where players collaboratively weave imaginative tales through unique tile placement. Designed for families, it encourages storytelling, creativity, and shared narrative creation.

## Quick Gameplay Overview

*   **Goal:** To collaboratively tell a continuous, ever-evolving story by placing tiles.
*   **On Your Turn:**
    *   **Draw** a tile from the bag.
    *   **Place** the tile onto the playing area, connecting it.
    *   **Integrate** the tile's picture and word prompt into the ongoing story.
*   **Winner:** The ""win condition"" is the successful and engaging creation of a shared story.","Board Game","1 - Light","0-15 Minutes","2","4","6+","Discovery Toys","Storytelling;Tile Placement","","","","","","","","","","","","","","",""
"Nocturne","","https://boardgamegeek.com/boardgame/393175/nocturne","https://cf.geekdo-images.com/3zn6XgGERMbCfj5WpbZGlw__opengraph/img/XoA7CQ-llEp8XuSgT3utWj8XTQw=/0x0:1900x998/fit-in/1200x630/filters:strip_icc()/pic8305484.png","Nocturne is an enchanting board game where players are mystical foxes, competing in a moonlit forest to gather magical essences through strategic spellcasting and item collection. Its elegant mechanics and thematic art create an immersive world of arcane competition.

## Quick Gameplay Overview

*   **Goal:** Accumulate the most victory points by collecting magical items, completing contracts, and achieving area majority.
*   **On Your Turn:**
    *   **Cast Spells:** Play spell cards to influence the forest or activate abilities.
    *   **Move Fox Mystics:** Deploy or move tokens to control locations.
    *   **Collect Magical Items:** Gather items from the fox mystic's location.
    *   **Fulfill Contracts:** Trade items for points and bonuses.
*   **End Game:** The game ends after a set number of rounds.
*   **Winner:** The player with the highest total score is the most powerful fox mystic.","Board Game","2 - Medium Light","30-45 Minutes","1","4","10+","Flatout Games","Area Majority / Influence;Auction / Bidding;Contracts;End Game Bonuses;Grid Coverage","","","","","","","","","","","","","","",""
"Othello","","https://boardgamegeek.com/boardgame/2389/othello","https://cf.geekdo-images.com/EofS3EhloTaqeC_OYQu_UA__opengraph/img/b5Bh4kZey69513guCh58H1uljmo=/0x0:3366x1767/fit-in/1200x630/filters:strip_icc()/pic6568627.jpg","Othello is a classic abstract strategy game where players strategically place two-sided discs to outflank and flip their opponent's pieces. Simple to learn yet deeply strategic, it tests your tactical decision-making and spatial reasoning.

## Quick Gameplay Overview
- **Goal:** Have the majority of your colored discs on the board at game end.
- **On Your Turn:**
    - **Place a Disc:** Place one of your colored discs on an empty square.
    - **Outflank Discs:** Your disc must outflank at least one opponent's disc (sandwiching them between two of your discs).
    - **Flip Discs:** Flip all outflanked opponent's discs to your color.
    - **Pass:** If no legal moves, you must pass; if both pass, the game ends.
- **Winner:** The player with the most discs of their color wins.","Board Game","2 - Medium Light","30-45 Minutes","2","2","8+","(Public Domain)","Pattern Recognition","","","","","","","","","","","","","","",""
"Outburst!","","https://boardgamegeek.com/boardgame/4862/outburst","https://cf.geekdo-images.com/N4qL3ycANNHlJ39mIZZPhw__opengraph/img/97Qnp_4JJa1gNh10YDVM2WYBi1M=/39x0:1378x703/fit-in/1200x630/filters:strip_icc()/pic4990981.jpg","Outburst! is a high-energy party game where teams race to shout out as many answers as they can to a given topic before time runs out. It's a rapid-fire test of general knowledge and quick thinking, designed to get everyone involved and laughing.

## Quick Gameplay Overview
- **Goal:** Be the first team to score a predetermined number of points.
- **Each Round:**
    - A team selects a topic card.
    - The opposing team views the ten target answers secretly.
    - The active team shouts out answers within a time limit.
    - The opposing team checks off correct answers.
- **Winner:** The team with the most points at the end of the game wins.

This edition of Outburst! delivers the classic fast-paced, high-energy party game experience perfect for any gathering.","Party Game","1 - Light","60+ Minutes","2","99","18+","Hasbro","Dice Rolling","","","","","","","","","","","","","","",""
"Pandemic","","https://boardgamegeek.com/boardgame/30549/pandemic","https://cf.geekdo-images.com/S3ybV1LAp-8SnHIXLLjVqA__opengraph/img/fNu5AeI1nPD73l9_KNPEurNwBuI=/0x655:976x1167/fit-in/1200x630/filters:strip_icc()/pic1534148.jpg","In Pandemic, elite specialists battle to contain and cure four deadly diseases threatening global annihilation. This cooperative game challenges players to strategize and make critical decisions under pressure to save humanity.

## Quick Gameplay Overview
- **Goal:** As a team, cure all four diseases before any loss conditions are met.
- **On Your Turn:**
  - **Perform 4 Actions:**
    - Choose from various movements—Drive, Direct/Charter/Shuttle Flight.
    - **Treat Disease**—remove disease cubes.
    - **Build a Research Station** or **Discover a Cure** at one.
    - **Share Knowledge**—exchange City cards with another player in your city.
  - **Draw 2 Player Cards:** These include City cards, Event cards, and dreaded Epidemic cards.
  - **Infect Cities:** Draw Infection cards and place disease cubes; potential outbreaks spread disease.
- **Winner:** The team wins if all four diseases are cured.
- **Loser:** The team loses if there are too many outbreaks, a disease cube supply runs out, or the Infection Deck empties.

This classic cooperative game features variable player roles and unpredictable Epidemic cards for high replayability.","Board Game","3 - Medium","45-60 Minutes","2","4","8+","Z-Man Games","Cooperative Game;Set Collection;Hand Management;Point to Point Movement;Variable Player Powers","","","","","","","","true","25","New/Sealed","","","","",""
"Paper App Dungeon","","https://boardgamegeek.com/boardgame/329613/paper-app-dungeon","https://cf.geekdo-images.com/bRwdqGeW3Rgaqlu26L7NoA__opengraph/img/2KxUmFzp4GbYM_7uFvMgOAXStaQ=/0x1053:1123x1643/fit-in/1200x630/filters:strip_icc()/pic7935271.jpg","Paper App Dungeon is a minimalist, portable roll-and-write dungeon crawler for solo play, requiring only pen, paper, and dice. Explore randomly generated dungeons, battle monsters, and develop your character in its compact format.

## Quick Gameplay Overview

*   **Goal:** Navigate dungeons, defeat monsters, collect loot, and achieve the highest score or complete quests.
*   **On Your Turn:**
    *   **Generate the Dungeon:** Roll dice to create room layouts – walls, enemies, treasures, exits.
    *   **Move and Explore:** Draw lines on your map to move, revealing new areas and encounters.
    *   **Encounter Resolution:** Roll dice for combat; discover treasure for resources/upgrades.
    *   **Character Progression:** Upgrade abilities to face tougher challenges.
*   **Winner:** The player with the highest score from defeating monsters, collecting treasures, and completing objectives.

This print-and-play game offers a refreshingly accessible yet surprisingly deep dungeon-crawling experience with high replayability.","Other","2 - Medium Light","15-30 Minutes","1","1","8+","Lucky Duck Games","Dice Rolling;Paper-and-Pencil;Procedural Generation","","","","","","","","","","","","","","",""
"Parks & Potions","","https://boardgamegeek.com/boardgame/414927/parks-and-potions","https://cf.geekdo-images.com/cWNFu9L65E1F74Oai6mDSw__opengraph/img/z454ePzlQ3_Sk2FQ42_EP55SYhg=/0x120:2256x1305/fit-in/1200x630/filters:strip_icc()/pic8369367.png","As Park Rangers, players delve into botanical alchemy, crafting potions to heal injured wildlife. This charming game blends card play and dice rolling for strategic resource management in a natural setting.

## Quick Gameplay Overview
- **Goal:** Be the most successful Park Ranger by healing animals and completing objectives.
- **On Your Turn:**
    - **Gather Ingredients:** Collect botanicals (cards/tokens) for potion brewing.
    - **Roll Dice:** Determine actions, gain resources, or influence potion crafting.
    - **Brew Potions:** Combine ingredients according to recipes to create elixirs.
    - **Heal Animals:** Apply potions to restore animal health, earning rewards or points.
- **Winner:** The player with the most victory points from healing animals and completing objectives.

This edition features some shiny cardboard components, adding a premium feel.","Card Game","2 - Medium Light","15-30 Minutes","1","5","8+","Moon Saga Workshop","Card Game;Dice Rolling","","","","","","","","","","","","","","",""
"Parks & Potions: Potion Perils","","https://boardgamegeek.com/boardgame/436644/parks-and-potions-potion-perils","https://cf.geekdo-images.com/GJnUwap_6mzXD_hCrQGgmA__opengraph/img/1Znz53X5JTSZPZtzF__rVR-PIy8=/0x0:471x247/fit-in/1200x630/filters:strip_icc()/pic8635677.png","**Parks & Potions: Potion Perils** is an expansion that challenges players to heal ailing wildlife in a wilderness threatened by dwindling resources and novel dangers. As Park Rangers, you'll navigate a landscape fraught with spores and viral outbreaks, requiring careful planning and adept potion crafting.

## Quick Gameplay Overview
- **Goal:** Effectively heal wildlife by strategically crafting and delivering potions, overcoming new environmental threats.
- **On Your Turn:**
    - **Choose Time of Day Dice:** Select dice to roll, dictating available potions for crafting.
    - **Navigate Obstacles:** Confront and mitigate viral infections and spore outbreaks.
    - **Craft Potions:** Utilize available potions determined by dice to heal afflicted animals.
    - **Heal Wildlife:** Apply crafted potions to heal wildlife, contributing to the park's well-being.
- **Winner:** The Park Ranger with the most successfully healed wildlife and best peril management.","Board Game","3 - Medium","30-45 Minutes","2","5","10+","Moon Saga Workshop","Action / Event;Contracts;Dice Rolling;Once-Per-Game Abilities;Open Drafting","","","","","","","","","","","true","Parks & Potions","","",""
"Pendulum","","https://boardgamegeek.com/boardgame/312804/pendulum","https://cf.geekdo-images.com/kgypcFnQosrcwYx5Jluafg__opengraph/img/a710zge779EuMGhTEVTQLHXu718=/0x0:3750x1969/fit-in/1200x630/filters:strip_icc()/pic5507191.jpg","Pendulum is a real-time, worker-placement game where nobles compete to become the next ruler of Dünya. Its unique real-time mechanics, powered by sand timers, create a thrilling and high-pressure strategic experience.

## Quick Gameplay Overview

*   **Goal:** Accumulate the most victory points by controlling provinces, advancing on tracks, and completing objectives.
*   **Each Round:**
    *   **Place Workers:** Deploy workers to action spaces to gain resources, conquer provinces, or advance on tracks.
    *   **Execute Actions:** Wait for sand timers in action zones to run out; then, retrieve workers and gain benefits.
    *   **Manage Resources:** Collect and spend resources for powerful actions and developing your noble board.
    *   **Adapt to Timers:** Observe sand timers to strategically commit workers and manage action availability.
*   **Winner:** The player with the most victory points at the end of four rounds.","Board Game","3 - Medium","60+ Minutes","1","5","12+","Stonemaier Games","Simultaneous Action Selection;Area Control;Real-time;Worker Placement","","","","","","","","true","29","New/Sealed","","","","",""
"Penguins Can't Fly","","https://boardgamegeek.com/boardgame/446268/penguins-cant-fly","https://cf.geekdo-images.com/aCoa5mmEswEzj6lyeIXIYg__opengraph/img/QZiRHO3O1VydC-es6oBSPIA3mhg=/0x0:5705x2995/fit-in/1200x630/filters:strip_icc()/pic8874751.png","In **Penguins Can't Fly**, players are misguided penguins attempting to prove they can fly by falling from an icy cliff. This lighthearted party game emphasizes survival and sabotage as you try to be the last penguin airborne, avoiding hungry orcas below.

## Quick Gameplay Overview
- **Goal:** Be the last penguin remaining in the air, avoiding the hungry orcas.
- **On Your Turn:**
    - **Draw a Card:** Take a card from the deck.
    - **Resolve Card Effect:** Most cards move your penguin closer to the water.
    - **Play Action Cards:** - Mess with opponents - Switch places - Look ahead - Force others to drop.
    - **Track Card Effects:** Landing on track cards can cause mid-air chaos or slow penguins.
- **Winner:** The player with the sole surviving penguin wins.
This edition offers humorous direct player interaction and push-your-luck elements for lively game nights.","Party Game","1 - Light","15-30 Minutes","3","4","10+","Burning Fish Games","Events;Take That;Track Movement;Variable Set-up","","","","","","","","","","","","","","",""
"Pergola","","https://boardgamegeek.com/boardgame/424573/pergola","https://cf.geekdo-images.com/uZk1zNLrFWOtYzmgUSZBog__opengraph/img/MIyfoBFSq-xHou5yoESoKzrlp9Y=/0x9:1856x984/fit-in/1200x630/filters:strip_icc()/pic8515455.png","Pergola is a serene tile-laying game where players cultivate beautiful garden sanctuaries. Connect vibrant plant tiles and attract beneficial insects to create your harmonious pergola, offering a relaxing yet engaging challenge.

## Quick Gameplay Overview
- **Goal:** Create the most aesthetically pleasing and ecologically rich pergola by strategically placing tiles.
- **On Your Turn:**
    - **Draw & Place Tile:** Draw a plant tile and place it adjacent to an existing tile in your pergola.
    - **Attract Insects:** If tile placement completes a pattern, attract an insect token for benefits or scoring.
    - **Fulfill Objectives:** Work towards personal or communal objectives for bonus points.
- **Winner:** The player with the highest total points from connected zones, insects, and objectives wins.","Board Game","2 - Medium Light","45-60 Minutes","1","4","10+","Rebel Studio","Tile Placement;Pattern Building;Set Collection","","","","","","","","","","","","","","",""
"Phase 10","","https://boardgamegeek.com/boardgame/1258/phase-10","https://cf.geekdo-images.com/jvHGs95ShI8VEhDBdxKs6w__opengraph/img/fSVUOBuyi8ak4dzK61gDdV0o2iY=/0x179:621x505/fit-in/1200x630/filters:strip_icc()/pic7621070.png","Phase 10 is a Rummy-style card game where players aim to complete ten specific ""phases"" in order. This game combines strategy and luck, making it ideal for family gatherings.

## Quick Gameplay Overview

**Goal:** Be the first to complete all ten phases and have the lowest score.

**On Your Turn:**
- **Draw:** Take one card from the draw pile or discard pile.
- **Lay Down Phase:** Play cards to complete your current phase.
- **Hit (optional):** Play cards on existing phases to extend them.
- **Discard:** End your turn by discarding one card.

**End Game:** The game concludes when a player completes their tenth phase and empties their hand.
**Winner:** The player with the lowest score among those who completed all ten phases.

This edition of Phase 10 includes classic cards with clear phase descriptions.","Card Game","1 - Light","45-60 Minutes","2","6","8+","Mattel, Inc.","Hand Management;Set Collection","","","","","","","","","","","","","","",""
"Photosynthesis","","https://boardgamegeek.com/boardgame/218603/photosynthesis","https://cf.geekdo-images.com/HhkYuVxMy-XrRCBWmZ78Eg__opengraph/img/vXihMVYdkyUhliH7FXSqTOMr16Q=/0x0:1765x927/fit-in/1200x630/filters:strip_icc()/pic3364832.jpg","Photosynthesis is a beautifully themed strategy game where players cultivate a forest from seedling to maturity, competing for sunlight. Its striking 3D tree components and rotating sun mechanism offer a unique blend of ecological simulation and strategic planning.

## Quick Gameplay Overview

**Goal:** Earn the most victory points by growing trees and completing their life cycle.
**Each Round:**
- **Sun Moves:** The sun rotates, casting new shadows.
- **Photosynthesis:** Trees exposed to sunlight generate light points.
- **Spend Light:** Use light points for actions.
- **Actions:** – **Buy Assets:** Acquire seeds or trees – **Plant Seeds:** Place a seed next to an existing tree – **Grow Trees:** Upgrade seeds to trees, or smaller trees to larger ones – **Collect VP:** Harvest large trees for victory points, removing them from the board.
**End Game:** After a set number of sun rotations.
**Winner:** Player with the most victory points.

This edition features striking 3D tree components for an immersive experience.","Board Game","3 - Medium","30-45 Minutes","2","4","10+","Blue Orange Games","Area Control / Area Influence;Grid Movement;Set Collection;Pattern Building;Line of Sight","","","","","","","","","","","","","","",""
"Pit","","https://boardgamegeek.com/boardgame/140/pit","https://cf.geekdo-images.com/LkEPNu7bPTS1rVRU_Ba-Dg__opengraph/img/aQjBFs__qAJMVR3TxjfPS6SwynM=/0x26:1417x770/fit-in/1200x630/filters:strip_icc()/pic423644.jpg","Pit is a classic, fast-paced card game simulating frantic commodity trading. Players experience the chaos of a busy trading floor, relying on quick thinking and loud declarations to corner the market.

## Quick Gameplay Overview
- **Goal:** Be the first to collect all nine cards of a single commodity over multiple rounds and score the most points.
- **Each Round:**
    - **Simultaneous Trading:** Announce how many cards (1-4) you want to trade and exchange blindly with another player.
    - **Corner the Market:** Declare ""Corner!"" when you have all nine cards of one commodity.
- **Winner:** The player with the highest total score after a predetermined number of rounds or point threshold.

This edition features the timeless gameplay that has entertained players for over a century.","Card Game","1 - Light","30-45 Minutes","3","8","7+","Parker Brothers","Hand Management;Set Collection;Simultaneous Action Selection;Trading","","","","","","","","","","","","","","",""
"Quiddler","","https://boardgamegeek.com/boardgame/339/quiddler","https://cf.geekdo-images.com/PKiBxGLQO5a4Sy4XmjvPWw__opengraph/img/XUKUoMFPHRofJ0iI37EZf2IChjE=/0x0:1330x698/fit-in/1200x630/filters:strip_icc()/pic1753681.jpg","Quiddler is a delightful card game where players form words from their hand, blending classic word game elements with unique drawing and discarding. It's a refreshing experience for all skill levels, rewarding both short and complex word constructions.

## Quick Gameplay Overview

-   **Goal:** Score the most points by forming words from your cards using letter values and word length.
-   **On Your Turn:**
    -   **Draw:** Take one card from the discard pile or deck.
    -   **Form Words:** Create one or more words using all cards in your hand—each card used once.
    -   **Discard:** If unable/unwilling to form all words, discard one card.
-   **End Game:** After the round where 10 cards are dealt.
-   **Winner:** Player with the highest cumulative score.

This edition includes 118 letter cards, offering a perfect blend of strategy, vocabulary, and luck.","Card Game","1 - Light","30-45 Minutes","1","8","8+","AMIGO","Card Drafting;Hand Management;Set Collection;Word Game","","","","","","","","","","","","","","",""
"Qwirkle","","https://boardgamegeek.com/boardgame/25669/qwirkle","https://cf.geekdo-images.com/k7zHj8j_a6uUAtXUt5Fvuw__opengraph/img/ITX_9nyK-ETWZP7a4rrPti7lxqU=/0x0:1424x748/fit-in/1200x630/filters:strip_icc()/pic309353.jpg","Qwirkle is an abstract strategy game where players connect colorful, uniquely shaped tiles. It's a blend of tactical tile placement and strategic planning, making it a timeless hit for families. The game challenges players to maximize points by creating lines of matching colors or shapes.

## Quick Gameplay Overview

-   **Goal:** Score the most points by strategically placing tiles to form lines of matching colors or shapes.
-   **On Your Turn:**
    -   **Place Tiles:** Play one or more tiles from your hand in a straight line, matching adjacent tiles by color or shape.
    -   **Score Points:** Earn one point per tile in created/extended lines; a 6-point bonus for completing a ""qwirkle"" (six identical tiles).
    -   **Replenish Hand:** Draw new tiles to a hand size of six.
-   **End Game:** The game ends when the draw bag is empty and one player places their last tile, earning a 6-point bonus.
-   **Winner:** The player with the highest total score wins.","Board Game","2 - Medium Light","30-45 Minutes","2","4","6+","MindWare","Tile Placement;Set Collection;Pattern Building;Hand Management","","","","","","","","","","","","","","",""
"Qwixx","","https://boardgamegeek.com/boardgame/131260/qwixx","https://cf.geekdo-images.com/aOt-bT9nDzZdWl0dUqLy4w__opengraph/img/KZEx_b4TrBg0dtrpjAeVJeRzyrU=/0x0:803x422/fit-in/1200x630/filters:strip_icc()/pic1950487.jpg","Qwixx is a fast-paced, dice-rolling, ""roll-and-write"" game where players simultaneously mark numbers on their score sheets to earn points. Its constant engagement and quick decisions make it a thrilling experience for everyone.

## Quick Gameplay Overview
- **Goal:** Score the most points by marking numbers in four colored rows.
- **Each Round:**
    - **Roll Dice:** Active player rolls two white and four colored dice.
    - **Mark White Sum:** All players can mark the sum of the two white dice in any row.
    - **Mark Colored Sum:** Active player *only* can mark a colored die combined with a white die in its matching row.
    - **Penalty:** If the active player marks no numbers, they take a ""failed throw"" penalty.
- **End Game:** Occurs when a player takes their fourth penalty or two color rows are locked.
- **Winner:** The player with the highest total score after penalties.","Dice Game","1 - Light","15-30 Minutes","2","5","8+","Nürnberger-Spielkarten-Verlag","Dice Rolling;Push Your Luck;Roll/Spin and Move","","","","","","","","","","","","","","",""
"Racekart Riot","","https://boardgamegeek.com/boardgame/322185/racekart-riot","https://cf.geekdo-images.com/hWHeEX0kx40ng7Q-ScKW-A__opengraph/img/nH1gaY6PEzVsFnZLCO-ASU-NfO0=/0x0:2100x1103/fit-in/1200x630/filters:strip_icc()/pic5727984.jpg","Racekart Riot is a thrilling 2-4 player board game where kart racers navigate treacherous tracks, using items and strategy to win the Ruby Cup. It combines strategic movement with chaotic fun for a high-octane experience.

## Quick Gameplay Overview
- **Goal:** Be the first player to complete the race track.
- **On Your Turn:**
    - **Select Movement:** Simultaneously choose a movement card for speed and direction.
    - **Move Karts:** Reveal cards and move karts around the modular track.
    - **Encounter Hazards/Items:** Land on spaces to dodge lava, collect power-ups, or deploy hindrances.
    - **Resolve Attacks:** Perform actions if in range to attack opponents with power-ups.
- **Winner:** The player who first crosses the finish line wins the Ruby Cup.","Board Game","2 - Medium Light","30-45 Minutes","2","4","10+","Gatwick Games","Dice Rolling;Matching;Open Drafting;Race;Simultaneous Action Selection","","","","","","","","","","","","","","",""
"Reign of Dragoness","","https://boardgamegeek.com/boardgame/366166/reign-of-dragoness","https://cf.geekdo-images.com/4E3UpxBegMScOWhy2YBoFQ__opengraph/img/IB3O331EUyyD2usDTDHSoitQiqI=/0x1:613x323/fit-in/1200x630/filters:strip_icc()/pic6969894.jpg","Reign of Dragoness is a vibrant fantasy-themed ladder-climbing card game where tactical card play and clever hand management lead to victory. It offers quick, dynamic rounds filled with strategic decisions.

## Quick Gameplay Overview

*   **Goal:** Be the first player to empty your hand of cards by playing ascending combinations.
*   **On Your Turn:**
    *   **Play Cards:** Play a combination (single, pair, triple, run) that beats the previous one.
    *   **Pass:** If you cannot play, pass; if all players pass, clear the area and start a new round.
    *   **Use Dragoness Abilities:** Activate special abilities on Dragoness cards when played for strategic advantage.
*   **Winner:** The player with the lowest total score after a set number of rounds or when a score threshold is met.","Card Game","2 - Medium Light","15-30 Minutes","2","8","8+","Grandpa Beck's Games","Hand Management;Ladder Climbing;Score-and-Reset Game","","","","","","","","","","","","","","",""
